Tag,Rng,ArtistNo,Title,Artist,ConstituentID,Nationality,Birth,Death,Date,Medium,CreditLine,AccessionNumber,Classification,Department,DateAcquired,ObjectID,URL,ThumbnailURL
1,3,1,Pavlova's Foot,A. E. Gallatin,5531,Russian,1887,1953,1922,Pencil,Gift of the artist,1.1932,Drawing,Drawings,2/24/1932,32958,http://www.moma.org/collection/works/32958,http://www.moma.org/media/W1siZiIsIjMzNTA2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b3c58d48b48b8c04
2,5,2,Humid Day,A.K. Burns,466,American,1929,0,1946,Gouache,Purchase,1.1948,Drawing,Drawings,3/17/1948,32960,http://www.moma.org/collection/works/32960,http://www.moma.org/media/W1siZiIsIjIwOTg4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da8345bef1c916f5
3,4,2,Pacific Landscape,A.K. Burns,5366,American,1898,1969,1945,Tempera,Gift of Philip L. Goodwin,1.195,Drawing,Drawings,1/1/1950,32961,http://www.moma.org/collection/works/32961,http://www.moma.org/media/W1siZiIsIjIyNTIzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1cc4f79af7793a73
4,1,3,Study for Portrait of Ferrucio Busoni,A.R. Penck Ralf Winkler,624,Italian,1882,1916,1916,Pen,Given anonymously,1.1952,Drawing,Drawings,1/22/1952,32963,http://www.moma.org/collection/works/32963,http://www.moma.org/media/W1siZiIsIjQyMDgwMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0b3519ee1a74d65b
5,1,3,"Study related to ""The First Step""",A.R. Penck Ralf Winkler,738,French,1876,1957,1913,Crayon,Benjamin Scharps and David Scharps Fund,1.1956,Drawing,Drawings,1/23/1956,32964,http://www.moma.org/collection/works/32964,http://www.moma.org/media/W1siZiIsIjE3NjcyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d0f4218ee7eecfb3
6,4,3,On the Beach of Trestrignel,A.R. Penck Ralf Winkler,1492,French,1870,1943,1898,Oil,Grace Rainey Rogers Fund,1.1964,Drawing,Drawings,1/7/1964,32965,http://www.moma.org/collection/works/32965,http://www.moma.org/media/W1siZiIsIjEwNTg3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=04e7c3abc81d9f42
7,1,3,Costume design for the ballet The Minotaur,A.R. Penck Ralf Winkler,2956,American,1904,1994,1947,Gouache,,1.1973,Drawing,Drawings,1/4/1973,32967,http://www.moma.org/collection/works/32967,http://www.moma.org/media/W1siZiIsIjQzMTIxMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=07c5b9958eaa7544
8,5,3,Music on the Gallery,A.R. Penck Ralf Winkler,412,American,1911,1988,1975,Monotype with pencil additions,"Acquired with matching funds from Dr. and Mrs. David Abrahamsen, Shirley Polykoff, Florene M. Schoenborn, Alice Simkins, Joanne Stern and the National Endowment for the Arts",1.1977,Drawing,Drawings,2/2/1977,32968,http://www.moma.org/collection/works/32968,http://www.moma.org/media/W1siZiIsIjIwNzk3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fd3250faa70cffb2
9,2,3,Untitled Abstract Drawing,A.R. Penck Ralf Winkler,588,American,1918,1988,1984,Graphite,Gift of Consuela Reyes,1.1998,Drawing,Drawings,2/5/1998,32970,http://www.moma.org/collection/works/32970,http://www.moma.org/media/W1siZiIsIjI0NDkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5334e5ff5e17a06a
10,4,3,Railroad Gantry,A.R. Penck Ralf Winkler,870,American,1893,1967,1920,Gouache,Given anonymously,2.193,Drawing,Drawings,1/12/1930,32971,http://www.moma.org/collection/works/32971,http://www.moma.org/media/W1siZiIsIjExNTg2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3af3f51a67db01de
